riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter, nationality_full  
Redmond Gerard, 1, 882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | , 20, USA, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, United States, , , , 
Kengo Kofuji, 0, , , , JPN, , , , , , , , , , , , 
Leo Eichhorn, 0, , , , GER, , , , , , , , , , , , 
Liam Garandel, 0, , , , FRA, , , , , , , , , , , , 
Adam Rejda, 0, , , , CZE, , , , , , , , , , , , 
Christoph Holzinger, 0, , , , AUT, , , , , , , , , , , , 
Bernd Schweiger, 0, , , , AUT, , , , , , , , , , , , 
Brevin Bassett, 0, , , , USA, , , , , , , , , , , , 
Benton Austin, 0, , , , USA, , , , , , , , , , , , 
Linus Margreiter, 0, , , , AUT, , , , , , , , , , , , 
Niilo Silander, 0, , , , FIN, , , , , , , , , , , , 
Toulouse Wuhrmann, 0, , , , SUI, , , , , , , , , , , , 
Tanner Kuch, 0, , , , USA, , , , , , , , , , , , 
Konstantin Illi, 0, , , , GER, , , , , , , , , , , , 
Bjartur Snaer Jonsson, 0, , , , ISL, , , , , , , , , , , , 
Lubpawath Chayametisurat, 0, , , , THA, , , , , , , , , , , , 
Yoshito Okumura, 0, , , , JPN, , , , , , , , , , , , 
Brodie Langill, 0, , , , CAN, , , , , , , , , , , , 
Jure Seifried, 0, , , , SLO, , , , , , , , , , , , 
Nicolas Villegas, 0, , , , CHI, , , , , , , , , , , , 
Nichlas Anderssen Gaulen, 951, 24.15, , , NOR, , , , , , , , Norway, , , , 
Keigo Fujiwara, 952, 24.11, , , JPN, , , , , , , , Japan, , , , 
Laurens Dekkers, 953, 24.04, , , NED, , , , , , , , NED, , , , 
Hlynur Atli Haraldsson, 954, 23.97, , , ISL, , , , , , , , Iceland, , , , 
Kevin Cassera, 955, 23.94, , , ITA, , , , , , , , Italy, , , , 
Lucio Romani, 956, 23.87, , , ARG, , , , , , , , Argentina, , , , 
Torstein Mo Vatne, 957, 23.83, , , NOR, , , , , , , , Norway, , , , 
Casey Caplette, 958, 23.81, , , CAN, , , , , , , , Canada, , , , 
Yota Hiramoto, 959, 23.76, , , JPN, , , , , , , , Japan, , , , 
Moreno Baumann, 959, 23.76, , , SUI, , , , , , , , Switzerland, , , , 
Antonio Astillero, 961, 23.64, , , USA, , , , , , , , United States, , , , 
Evan Merino, 962, 23.58, , , CAN, , , , , , , , Canada, , , , 
Elias Frantisek, 963, 23.56, , , CZE, , , , , , , , Czech Republic, , , , 
Riccardo Quartiero, 964, 23.45, , , ITA, , , , , , , , Italy, , , , 
Ignacio Nicolas Martin, 965, 23.16, , , ARG, , , , , , , , Argentina, , , , 
Richard Bugos, 966, 23.13, , , USA, , , , , , , , United States, , , , 
Jack Stygar, 967, 23.11, , , USA, , , , , , , , United States, , , , 
Aristide Guisolan, 968, 23.1, , , SUI, , , , , , , , Switzerland, , , , 
Jack Sutton, 969, 23.0, , , CAN, , , , , , , , Canada, , , , 
Tyson Deslaurier, 970, 22.99, , , CAN, , , , , , , , Canada, , , , 
Simon Karrer, 971, 22.94, , , AUT, , , , , , , , Austria, , , , 
Domas Uzpolevicius, 972, 22.88, , , LTU, , , , , , , , Lithuania, , , , 
Jan Reznicek, 972, 22.88, , , CZE, , , , , , , , Czech Republic, , , , 
Tudor Pitulea, 972, 22.88, , , ROU, , , , , , , , Romania, , , , 
Silver Milpak, 975, 22.8, , , EST, , , , , , , , Estonia, , , , 
Enzo Mair, 976, 22.79, , , ARG, , , , , , , , Argentina, , , , 
Kai Yin, 977, 22.76, , , FIN, , , , , , , , Finland, , , , 
Eric Leiva, 978, 22.75, , , CHI, , , , , , , , CHI, , , , 
Wang Liwen, 979, 22.74, , , CHN, , , , , , , , China, , , , 
Mario Grinschgl, 980, 22.73, , , AUT, , , , , , , , Austria, , , , 
Rokas Grigaitis, 981, 22.64, , , LTU, , , , , , , , Lithuania, , , , 
Song Sun, 982, 22.6, , , CHN, , , , , , , , China, , , , 
Roomeo Aalto, 983, 22.39, , , FIN, , , , , , , , Finland, , , , 
Timofei Striukov, 984, 22.37, , , RUS, , , , , , , , Russian Federation, , , , 
Douglas Fay, 985, 22.04, , , USA, , , , , , , , United States, , , , 
Kira Konuma, 986, 21.94, , , JPN, , , , , , , , Japan, , , , 
Yoshiki Nemoto, 987, 21.84, , , JPN, , , , , , , , Japan, , , , 
Sota Matsumoto, 988, 21.83, , , JPN, , , , , , , , Japan, , , , 
Rafael Burri, 989, 21.83, , , SUI, , , , , , , , Switzerland, , , , 
Matteo Ganserer, 990, 21.74, , , GER, , , , , , , , Germany, , , , 
Jesse-Fin Groot, 991, 21.7, , , CAN, , , , , , , , Canada, , , , 
Hideki Matsuoka, 992, 21.65, , , JPN, , , , , , , , Japan, , , , 
Ermolai Uporov, 993, 21.64, , , RUS, , , , , , , , Russian Federation, , , , 
John Phocas, 994, 21.61, , 20, USA, , , Virginia Beach, , , , , United States, , , , 
Jan Clara, 995, 21.59, , , ESP, , , , , , , , Spain, , , , 
Kota Murakami, 996, 21.55, , , JPN, , , , , , , , Japan, , , , 
Cooper Provencher, 997, 21.54, , , USA, , , , , , , , United States, , , , 
Theofilos Arvanitidis, 998, 21.5, , , GRE, , , , , , , , GRE, , , , 
Michael Rose, 999, 21.42, , , USA, , , , , , , , United States, , , , 
Liyor Moyal, 1000, 21.39, , , NED, , , , , , , , NED, , , , 
Mateo Bravo, 1001, 21.37, , , CAN, , , , , , , , Canada, , , , 
Aaro Voutilainen, 1002, 21.35, , , FIN, , , , , , , , Finland, , , , 
Auxence Mathieu, 1003, 21.31, , , FRA, , , , , , , , France, , , , 
Benjamin Rankin, 1004, 21.2, , , USA, , , , , , , , United States, , , , 
Kousuke Yasuda, 1005, 21.11, , , JPN, , , , , , , , Japan, , , , 
Hiroki Sakuma, 1006, 21.07, , , JPN, , , , , , , , Japan, , , , 
Ollie Martin, 1007, 21.01, , , USA, , , , , , , , United States, , , , 
Nikita Kurenkov, 1008, 20.98, , , BLR, , , , , , , , Belarus, , , , 
Chris Fava, 1009, 20.93, , , CAN, , , , , , , , Canada, , , , 
Alex Strachan, 1010, 20.87, , , USA, , , , , , , , United States, , , , 
Kentaro Okuyama, 1011, 20.81, , , JPN, , , , , , , , Japan, , , , 
Alessio Capodiferro, 1012, 20.72, , , SUI, , , , , , , , Switzerland, , , , 
Koki Kitano, 1013, 20.55, , , JPN, , , , , , , , Japan, , , , 
Oliver Steen Ahlstrom, 1014, 20.39, , , NOR, , , , , , , , Norway, , , , 
Ransu Rutonen, 1015, 20.37, , , FIN, , , , , , , , Finland, , , , 
Davide Maifredi, 1016, 20.35, , , ITA, , , , , , , , Italy, , , , 
Rafe Hudson, 1017, 20.15, , , CAN, , , , , , , , Canada, , , , 
Ondrej Kalenda, 1018, 20.12, , , CZE, , , , , , , , Czech Republic, , , , 
Sampo Lipponen, 1018, 20.12, , , FIN, , , , , , , , Finland, , , , 
Oliver Christov, 1020, 20.09, , , GER, , , , , , , , Germany, , , , 
Limay Tagliaferro, 1021, 20.01, , , AND, , , , , , , , Andorra, , , , 
Akihiro Obara, 1022, 19.96, , , JPN, , , , , , , , Japan, , , , 
Hampus Stroem, 1023, 19.95, , , SWE, , , , , , , , Sweden, , , , 
Guillaume Forin, 1024, 19.91, , , FRA, , , , , , , , France, , , , 
Gregory Chataigner, 1024, 19.91, , , FRA, , , , , , , , France, , , , 
Ryan MacDuff, 1026, 19.82, , , CAN, , , , , , , , Canada, , , , 
Ekin Yilmaz, 1027, 19.79, , , CAN, , , , , , , , Canada, , , , 
Lukas Pall Benjaminsson, 1028, 19.74, , , ISL, , , , , , , , Iceland, , , , 
Sergey Yagnich, 1029, 19.67, , , RUS, , , , , , , , Russian Federation, , , , 
Matias Otto Wolfsteller, 1030, 19.67, , , ARG, , , , , , , , Argentina, , , , 
Caleb Dhawornvej, 1031, 19.61, , , USA, , , , , , , , United States, , , , 
Lucas Leutola Diaz, 1032, 19.46, , , FIN, , , , , , , , Finland, , , , 
Keaton Wowchuk, 1033, 19.44, , , CAN, , , , , , , , Canada, , , , 
Isak Atli Atlason, 1034, 19.42, , , ISL, , , , , , , , Iceland, , , , 
Chase Ashmore, 1034, 19.42, , , CAN, , , , , , , , Canada, , , , 
Orn Snaevar Alexandersson, 1036, 19.27, , , ISL, , , , , , , , Iceland, , , , 
Filip Lucky, 1037, 19.13, , , CZE, , , , , , , , Czech Republic, , , , 
Pim Wiesen, 1038, 19.09, , , NED, , , , , , , , NED, , , , 
Julian Ortega, 1039, 19.07, , , CHI, , , , , , , , CHI, , , , 
Jack Elliston, 1040, 18.97, , , USA, , , , , , , , United States, , , , 
Martin Plch, 1041, 18.93, , , CZE, , , , , , , , Czech Republic, , , , 
Tomas Gerat, 1042, 18.86, , , SVK, , , , , , , , Slovakia, , , , 
Jimmy Coles, 1043, 18.77, , , USA, , , , , , , , United States, , , , 
Hideyuki Mizukoshi, 1044, 18.72, , , JPN, , , , , , , , Japan, , , , 
Leo Schweizer, 1045, 18.7, , , GER, , , , , , , , Germany, , , , 
Anzo Coletti, 1046, 18.61, , , FRA, , , , , , , , France, , , , 
Kippei Shimizu, 1047, 18.59, , , JPN, , , , , , , , Japan, , , , 
Toivo Silander, 1048, 18.56, , , FIN, , , , , , , , Finland, , , , 
Francisco Ocariz, 1049, 18.38, , , ARG, , , , , , , , Argentina, , , , 
Max Joch, 1050, 18.34, , , GER, , , , , , , , Germany, , , , 
Benjamin Côté, 1051, 18.32, , , CAN, , , , , , , , Canada, , , , 
Lasse Lehwald, 1052, 18.22, , 23, DEN, Regular, 181 cm, , Mt.Diner, instagram.com/lasselehwald, , , DEN, , , , 
Lucas Foster, 1053, 18.13, Bonfire | Celtek | Dakine | Salomon | Skullcandy | Smith | , 21, USA, Goofy, , Telluride, , , , , United States, , , , 
Will Whitaker, 1054, 17.94, , , CAN, , , , , , , , Canada, , , , 
Alessandro Di Matteo, 1055, 17.76, , , ITA, , , , , , , , Italy, , , , 
Ellis Rempel, 1056, 17.73, , , CAN, , , , , , , , Canada, , , , 
Aleix Lopez Bigas, 1057, 17.6, , , ESP, , , , , , , , Spain, , , , 
Tobias Markl, 1058, 17.57, , , CZE, , , , , , , , Czech Republic, , , , 
Anton Hofer, 1059, 17.49, , , AUT, , , , , , , , Austria, , , , 
Jacob Sebastian, 1060, 17.47, , , CAN, , , , , , , , Canada, , , , 
Gregory Coghlan, 1061, 17.46, , , USA, , , , , , , , United States, , , , 
Milco De Feo, 1062, 17.43, , , ITA, , , , , , , , Italy, , , , 
Tristan Weiglin, 1063, 17.41, , , CAN, , , , , , , , Canada, , , , 
Marc Cedillo, 1064, 17.35, , , ESP, , , , , , , , Spain, , , , 
Leeto Hughes, 1065, 17.3, , , NZL, , , , , , , , New Zealand, , , , 
Daniel Pike, 1066, 17.24, , , CAN, , , , , , , , Canada, , , , 
Jonas Hanslik, 1067, 17.16, , , GER, , , , , , , , Germany, , , , 
Cash Cooper, 1068, 17.03, , , CAN, , , , , , , , Canada, , , , 
Juho Haapalainen, 1069, 17.03, , 32, FIN, , , , , , , , Finland, , , , 
Nils Kramer, 1070, 16.98, , , SUI, , , , , , , , Switzerland, , , , 
Marko Malsub, 1071, 16.93, , , EST, , , , , , , , Estonia, , , , 
Veeti Jurva, 1072, 16.91, , , FIN, , , , , , , , Finland, , , , 
Blake Morris, 1073, 16.82, , , CAN, , , , , , , , Canada, , , , 
Pawel Brunner, 1074, 16.77, , , SUI, , , , , , , , Switzerland, , , , 
Drew Oberlander, 1074, 16.77, , , USA, , , , , , , , United States, , , , 
Dominick Pasutto, 1076, 16.74, , , CAN, , , , , , , , Canada, , , , 
Rhune Cardinaels, 1077, 16.73, , , BEL, , , , , , , , Belgium, , , , 
Haruto Sunaga, 1078, 16.73, , , JPN, , , , , , , , Japan, , , , 
Kondratskyi Yevhen, 1079, 16.69, , , UKR, , , , , , , , Ukraine, , , , 
Ashton Gratton, 1080, 16.59, , , CAN, , , , , , , , Canada, , , , 
Taisuke Yamane, 1081, 16.57, , , JPN, , , , , , , , Japan, , , , 
Curtis Lackey, 1082, 16.53, , , USA, , , , , , , , United States, , , , 
Niccolo Trepp, 1083, 16.47, , , SUI, , , , , , , , Switzerland, , , , 
Gabriel Irlandini, 1084, 16.43, , , BRA, , , , , , , , Brazil, , , , 
George Bond, 1085, 16.36, , , USA, , , , , , , , United States, , , , 
Patryck Urbanski, 1086, 16.35, , , POL, , , , , , , , Poland, , , , 
Haruto Arai, 1087, 16.33, , , JPN, , , , , , , , Japan, , , , 
Fraser Campbell, 1088, 16.27, , , USA, , , , , , , , United States, , , , 
Masanobu Kawamura, 1089, 16.23, , , JPN, , , , , , , , Japan, , , , 
Oriol Bayo, 1090, 16.21, , , ESP, , , , , , , , Spain, , , , 
Kasin Humeny, 1091, 16.21, , , CAN, , , , , , , , Canada, , , , 
Manel Garcia Sune, 1092, 16.17, , , AND, , , , , , , , Andorra, , , , 
Keizo Maeda, 1093, 16.13, , , JPN, , , , , , , , Japan, , , , 
Walter Wirtitsch, 1094, 16.11, , , AUT, , , , , , , , Austria, , , , 
Robert Vötsch, 1095, 16.07, , , AUT, , , , , , , , Austria, , , , 
Leo Nieto, 1096, 16.05, , , FRA, , , , , , , , France, , , , 
Jamie Hamlin, 1097, 15.96, , , USA, , , , , , , , United States, , , , 
Sebastian Murphy, 1098, 15.83, , , CAN, , , , , , , , Canada, , , , 
Damian Millinger, 1099, 15.64, , , GER, , , , , , , , Germany, , , , 
Ondrej Susicky, 1100, 15.58, , , CZE, , , , , , , , Czech Republic, , , , 
Matteo Zilio, 1100, 15.58, , , ITA, , , , , , , , Italy, , , , 
Benjamin Côté, 1051, 18.32, , , CAN, , , , , , , , Canada, , , , 
Lasse Lehwald, 1052, 18.22, , 23, DEN, Regular, 181 cm, , Mt.Diner, instagram.com/lasselehwald, , , DEN, , , , 
Lucas Foster, 1053, 18.13, Bonfire | Celtek | Dakine | Salomon | Skullcandy | Smith | , 21, USA, Goofy, , Telluride, , , , , United States, , , , 
Will Whitaker, 1054, 17.94, , , CAN, , , , , , , , Canada, , , , 
Alessandro Di Matteo, 1055, 17.76, , , ITA, , , , , , , , Italy, , , , 
Ellis Rempel, 1056, 17.73, , , CAN, , , , , , , , Canada, , , , 
Aleix Lopez Bigas, 1057, 17.6, , , ESP, , , , , , , , Spain, , , , 
Tobias Markl, 1058, 17.57, , , CZE, , , , , , , , Czech Republic, , , , 
Anton Hofer, 1059, 17.49, , , AUT, , , , , , , , Austria, , , , 
Jacob Sebastian, 1060, 17.47, , , CAN, , , , , , , , Canada, , , , 
Gregory Coghlan, 1061, 17.46, , , USA, , , , , , , , United States, , , , 
Milco De Feo, 1062, 17.43, , , ITA, , , , , , , , Italy, , , , 
Tristan Weiglin, 1063, 17.41, , , CAN, , , , , , , , Canada, , , , 
Marc Cedillo, 1064, 17.35, , , ESP, , , , , , , , Spain, , , , 
Leeto Hughes, 1065, 17.3, , , NZL, , , , , , , , New Zealand, , , , 
Daniel Pike, 1066, 17.24, , , CAN, , , , , , , , Canada, , , , 
Jonas Hanslik, 1067, 17.16, , , GER, , , , , , , , Germany, , , , 
Cash Cooper, 1068, 17.03, , , CAN, , , , , , , , Canada, , , , 
Juho Haapalainen, 1069, 17.03, , 32, FIN, , , , , , , , Finland, , , , 
Nils Kramer, 1070, 16.98, , , SUI, , , , , , , , Switzerland, , , , 
Marko Malsub, 1071, 16.93, , , EST, , , , , , , , Estonia, , , , 
Veeti Jurva, 1072, 16.91, , , FIN, , , , , , , , Finland, , , , 
Blake Morris, 1073, 16.82, , , CAN, , , , , , , , Canada, , , , 
Pawel Brunner, 1074, 16.77, , , SUI, , , , , , , , Switzerland, , , , 
Drew Oberlander, 1074, 16.77, , , USA, , , , , , , , United States, , , , 
Dominick Pasutto, 1076, 16.74, , , CAN, , , , , , , , Canada, , , , 
Rhune Cardinaels, 1077, 16.73, , , BEL, , , , , , , , Belgium, , , , 
Haruto Sunaga, 1078, 16.73, , , JPN, , , , , , , , Japan, , , , 
Kondratskyi Yevhen, 1079, 16.69, , , UKR, , , , , , , , Ukraine, , , , 
Ashton Gratton, 1080, 16.59, , , CAN, , , , , , , , Canada, , , , 
Taisuke Yamane, 1081, 16.57, , , JPN, , , , , , , , Japan, , , , 
Curtis Lackey, 1082, 16.53, , , USA, , , , , , , , United States, , , , 
Niccolo Trepp, 1083, 16.47, , , SUI, , , , , , , , Switzerland, , , , 
Gabriel Irlandini, 1084, 16.43, , , BRA, , , , , , , , Brazil, , , , 
George Bond, 1085, 16.36, , , USA, , , , , , , , United States, , , , 
Patryck Urbanski, 1086, 16.35, , , POL, , , , , , , , Poland, , , , 
Haruto Arai, 1087, 16.33, , , JPN, , , , , , , , Japan, , , , 
Fraser Campbell, 1088, 16.27, , , USA, , , , , , , , United States, , , , 
Masanobu Kawamura, 1089, 16.23, , , JPN, , , , , , , , Japan, , , , 
Oriol Bayo, 1090, 16.21, , , ESP, , , , , , , , Spain, , , , 
Kasin Humeny, 1091, 16.21, , , CAN, , , , , , , , Canada, , , , 
Manel Garcia Sune, 1092, 16.17, , , AND, , , , , , , , Andorra, , , , 
Keizo Maeda, 1093, 16.13, , , JPN, , , , , , , , Japan, , , , 
Walter Wirtitsch, 1094, 16.11, , , AUT, , , , , , , , Austria, , , , 
Robert Vötsch, 1095, 16.07, , , AUT, , , , , , , , Austria, , , , 
Leo Nieto, 1096, 16.05, , , FRA, , , , , , , , France, , , , 
Jamie Hamlin, 1097, 15.96, , , USA, , , , , , , , United States, , , , 
Sebastian Murphy, 1098, 15.83, , , CAN, , , , , , , , Canada, , , , 
Damian Millinger, 1099, 15.64, , , GER, , , , , , , , Germany, , , , 
Ondrej Susicky, 1100, 15.58, , , CZE, , , , , , , , Czech Republic, , , , 
Matteo Zilio, 1100, 15.58, , , ITA, , , , , , , , Italy, , , , 
Benjamin Côté, 1051, 18.32, , , CAN, , , , , , , , Canada, , , , 
Lasse Lehwald, 1052, 18.22, , 23, DEN, Regular, 181 cm, , Mt.Diner, instagram.com/lasselehwald, , , DEN, , , , 
Lucas Foster, 1053, 18.13, Bonfire | Celtek | Dakine | Salomon | Skullcandy | Smith | , 21, USA, Goofy, , Telluride, , , , , United States, , , , 
Will Whitaker, 1054, 17.94, , , CAN, , , , , , , , Canada, , , , 
Alessandro Di Matteo, 1055, 17.76, , , ITA, , , , , , , , Italy, , , , 
Ellis Rempel, 1056, 17.73, , , CAN, , , , , , , , Canada, , , , 
Aleix Lopez Bigas, 1057, 17.6, , , ESP, , , , , , , , Spain, , , , 
Tobias Markl, 1058, 17.57, , , CZE, , , , , , , , Czech Republic, , , , 
Anton Hofer, 1059, 17.49, , , AUT, , , , , , , , Austria, , , , 
Jacob Sebastian, 1060, 17.47, , , CAN, , , , , , , , Canada, , , , 
Gregory Coghlan, 1061, 17.46, , , USA, , , , , , , , United States, , , , 
Milco De Feo, 1062, 17.43, , , ITA, , , , , , , , Italy, , , , 
Tristan Weiglin, 1063, 17.41, , , CAN, , , , , , , , Canada, , , , 
Marc Cedillo, 1064, 17.35, , , ESP, , , , , , , , Spain, , , , 
Leeto Hughes, 1065, 17.3, , , NZL, , , , , , , , New Zealand, , , , 
Daniel Pike, 1066, 17.24, , , CAN, , , , , , , , Canada, , , , 
Jonas Hanslik, 1067, 17.16, , , GER, , , , , , , , Germany, , , , 
Cash Cooper, 1068, 17.03, , , CAN, , , , , , , , Canada, , , , 
Juho Haapalainen, 1069, 17.03, , 32, FIN, , , , , , , , Finland, , , , 
Nils Kramer, 1070, 16.98, , , SUI, , , , , , , , Switzerland, , , , 
Marko Malsub, 1071, 16.93, , , EST, , , , , , , , Estonia, , , , 
Veeti Jurva, 1072, 16.91, , , FIN, , , , , , , , Finland, , , , 
Blake Morris, 1073, 16.82, , , CAN, , , , , , , , Canada, , , , 
Pawel Brunner, 1074, 16.77, , , SUI, , , , , , , , Switzerland, , , , 
Drew Oberlander, 1074, 16.77, , , USA, , , , , , , , United States, , , , 
Dominick Pasutto, 1076, 16.74, , , CAN, , , , , , , , Canada, , , , 
Rhune Cardinaels, 1077, 16.73, , , BEL, , , , , , , , Belgium, , , , 
Haruto Sunaga, 1078, 16.73, , , JPN, , , , , , , , Japan, , , , 
Kondratskyi Yevhen, 1079, 16.69, , , UKR, , , , , , , , Ukraine, , , , 
Ashton Gratton, 1080, 16.59, , , CAN, , , , , , , , Canada, , , , 
Taisuke Yamane, 1081, 16.57, , , JPN, , , , , , , , Japan, , , , 
Curtis Lackey, 1082, 16.53, , , USA, , , , , , , , United States, , , , 
Niccolo Trepp, 1083, 16.47, , , SUI, , , , , , , , Switzerland, , , , 
Gabriel Irlandini, 1084, 16.43, , , BRA, , , , , , , , Brazil, , , , 
George Bond, 1085, 16.36, , , USA, , , , , , , , United States, , , , 
Patryck Urbanski, 1086, 16.35, , , POL, , , , , , , , Poland, , , , 
Haruto Arai, 1087, 16.33, , , JPN, , , , , , , , Japan, , , , 
Fraser Campbell, 1088, 16.27, , , USA, , , , , , , , United States, , , , 
Masanobu Kawamura, 1089, 16.23, , , JPN, , , , , , , , Japan, , , , 
Oriol Bayo, 1090, 16.21, , , ESP, , , , , , , , Spain, , , , 
Kasin Humeny, 1091, 16.21, , , CAN, , , , , , , , Canada, , , , 
Manel Garcia Sune, 1092, 16.17, , , AND, , , , , , , , Andorra, , , , 
Keizo Maeda, 1093, 16.13, , , JPN, , , , , , , , Japan, , , , 
Walter Wirtitsch, 1094, 16.11, , , AUT, , , , , , , , Austria, , , , 
Robert Vötsch, 1095, 16.07, , , AUT, , , , , , , , Austria, , , , 
Leo Nieto, 1096, 16.05, , , FRA, , , , , , , , France, , , , 
Jamie Hamlin, 1097, 15.96, , , USA, , , , , , , , United States, , , , 
Sebastian Murphy, 1098, 15.83, , , CAN, , , , , , , , Canada, , , , 
Damian Millinger, 1099, 15.64, , , GER, , , , , , , , Germany, , , , 
Ondrej Susicky, 1100, 15.58, , , CZE, , , , , , , , Czech Republic, , , , 
Matteo Zilio, 1100, 15.58, , , ITA, , , , , , , , Italy, , , , 
Benjamin Côté, 1051, 18.32, , , CAN, , , , , , , , Canada, , , , 
Lasse Lehwald, 1052, 18.22, , 23, DEN, Regular, 181 cm, , Mt.Diner, instagram.com/lasselehwald, , , DEN, , , , 
Lucas Foster, 1053, 18.13, Bonfire | Celtek | Dakine | Salomon | Skullcandy | Smith | , 21, USA, Goofy, , Telluride, , , , , United States, , , , 
Will Whitaker, 1054, 17.94, , , CAN, , , , , , , , Canada, , , , 
Alessandro Di Matteo, 1055, 17.76, , , ITA, , , , , , , , Italy, , , , 
Ellis Rempel, 1056, 17.73, , , CAN, , , , , , , , Canada, , , , 
Aleix Lopez Bigas, 1057, 17.6, , , ESP, , , , , , , , Spain, , , , 
Tobias Markl, 1058, 17.57, , , CZE, , , , , , , , Czech Republic, , , , 
Anton Hofer, 1059, 17.49, , , AUT, , , , , , , , Austria, , , , 
Jacob Sebastian, 1060, 17.47, , , CAN, , , , , , , , Canada, , , , 
Gregory Coghlan, 1061, 17.46, , , USA, , , , , , , , United States, , , , 
Milco De Feo, 1062, 17.43, , , ITA, , , , , , , , Italy, , , , 
Tristan Weiglin, 1063, 17.41, , , CAN, , , , , , , , Canada, , , , 
Marc Cedillo, 1064, 17.35, , , ESP, , , , , , , , Spain, , , , 
Leeto Hughes, 1065, 17.3, , , NZL, , , , , , , , New Zealand, , , , 
Daniel Pike, 1066, 17.24, , , CAN, , , , , , , , Canada, , , , 
Jonas Hanslik, 1067, 17.16, , , GER, , , , , , , , Germany, , , , 
Cash Cooper, 1068, 17.03, , , CAN, , , , , , , , Canada, , , , 
Juho Haapalainen, 1069, 17.03, , 32, FIN, , , , , , , , Finland, , , , 
Nils Kramer, 1070, 16.98, , , SUI, , , , , , , , Switzerland, , , , 
Marko Malsub, 1071, 16.93, , , EST, , , , , , , , Estonia, , , , 
Veeti Jurva, 1072, 16.91, , , FIN, , , , , , , , Finland, , , , 
Blake Morris, 1073, 16.82, , , CAN, , , , , , , , Canada, , , , 
Pawel Brunner, 1074, 16.77, , , SUI, , , , , , , , Switzerland, , , , 
Drew Oberlander, 1074, 16.77, , , USA, , , , , , , , United States, , , , 
Dominick Pasutto, 1076, 16.74, , , CAN, , , , , , , , Canada, , , , 
Rhune Cardinaels, 1077, 16.73, , , BEL, , , , , , , , Belgium, , , , 
Haruto Sunaga, 1078, 16.73, , , JPN, , , , , , , , Japan, , , , 
Kondratskyi Yevhen, 1079, 16.69, , , UKR, , , , , , , , Ukraine, , , , 
Ashton Gratton, 1080, 16.59, , , CAN, , , , , , , , Canada, , , , 
Taisuke Yamane, 1081, 16.57, , , JPN, , , , , , , , Japan, , , , 
Curtis Lackey, 1082, 16.53, , , USA, , , , , , , , United States, , , , 
Niccolo Trepp, 1083, 16.47, , , SUI, , , , , , , , Switzerland, , , , 
Gabriel Irlandini, 1084, 16.43, , , BRA, , , , , , , , Brazil, , , , 
George Bond, 1085, 16.36, , , USA, , , , , , , , United States, , , , 
Patryck Urbanski, 1086, 16.35, , , POL, , , , , , , , Poland, , , , 
Haruto Arai, 1087, 16.33, , , JPN, , , , , , , , Japan, , , , 
Fraser Campbell, 1088, 16.27, , , USA, , , , , , , , United States, , , , 
Masanobu Kawamura, 1089, 16.23, , , JPN, , , , , , , , Japan, , , , 
Oriol Bayo, 1090, 16.21, , , ESP, , , , , , , , Spain, , , , 
Kasin Humeny, 1091, 16.21, , , CAN, , , , , , , , Canada, , , , 
Manel Garcia Sune, 1092, 16.17, , , AND, , , , , , , , Andorra, , , , 
Keizo Maeda, 1093, 16.13, , , JPN, , , , , , , , Japan, , , , 
Walter Wirtitsch, 1094, 16.11, , , AUT, , , , , , , , Austria, , , , 
Robert Vötsch, 1095, 16.07, , , AUT, , , , , , , , Austria, , , , 
Leo Nieto, 1096, 16.05, , , FRA, , , , , , , , France, , , , 
Jamie Hamlin, 1097, 15.96, , , USA, , , , , , , , United States, , , , 
Sebastian Murphy, 1098, 15.83, , , CAN, , , , , , , , Canada, , , , 
Damian Millinger, 1099, 15.64, , , GER, , , , , , , , Germany, , , , 
Ondrej Susicky, 1100, 15.58, , , CZE, , , , , , , , Czech Republic, , , , 
Matteo Zilio, 1100, 15.58, , , ITA, , , , , , , , Italy, , , , 
Joel De Vries, 1102, 15.5, , , NED, , , , , , , , NED, , , , 
Silas Postal, 1103, 15.48, , , CAN, , , , , , , , Canada, , , , 
Oddur Vilberg Sigurdsson, 1104, 15.47, , , ISL, , , , , , , , Iceland, , , , 
Vid Legac, 1105, 15.41, , , CRO, , , , , , , , CRO, , , , 
Pyry Posio, 1106, 15.4, , , FIN, , , , , , , , Finland, , , , 
Anru Wakushima, 1107, 15.38, , , NZL, , , , , , , , New Zealand, , , , 
Patrick Fankhauser, 1108, 15.33, , , AUT, , , , , , , , Austria, , , , 
Mischa Zuercher, 1109, 15.24, , , SUI, , , , , , , , Switzerland, , , , 
Kirua Rejina, 1110, 15.21, , , JPN, , , , , , , , Japan, , , , 
Grady Kahl, 1111, 15.17, , , CAN, , , , , , , , Canada, , , , 
Corentin Briol, 1111, 15.17, , , FRA, , , , , , , , France, , , , 
Tatsuki Yoshida, 1113, 15.14, , , JPN, , , , , , , , Japan, , , , 
Callum Gelvezon, 1114, 15.08, , , USA, , , , , , , , United States, , , , 
Felix Zehetmaier, 1115, 15.07, , , GER, , , , , , , , Germany, , , , 
Tommy De Martin, 1116, 14.9, , , ITA, , , , , , , , Italy, , , , 
